Point,Sample,Date,ElapsedMin,Weight,ElaspedMin^0.25,Temp,Humidity,Pressure,Light
40,Misssissippian-1,03-05-11 15:18:52,10.0,7.937433,1.77827941004,016.9,85.57,101237,1023
41,Misssissippian-1,03-05-11 15:19:07,11.0,7.937443,1.82116028684,016.9,85.57,101238,1023
42,Misssissippian-1,03-05-11 15:19:22,11.0,7.937461,1.82116028684,016.9,85.55,101237,1023
43,Misssissippian-1,03-05-11 15:19:37,11.0,7.937473,1.82116028684,016.9,85.52,101237,1023
44,Misssissippian-1,03-05-11 15:19:53,11.0,7.937493,1.82116028684,016.9,85.52,101237,1023
45,Misssissippian-1,03-05-11 15:20:08,12.0,7.937503,1.8612097182,016.9,85.50,101238,1023
46,Misssissippian-1,03-05-11 15:20:27,12.0,7.937526,1.8612097182,016.9,85.45,101235,1023
47,Misssissippian-1,03-05-11 15:20:42,12.0,7.937533,1.8612097182,016.9,85.45,101238,1023
48,Misssissippian-1,03-05-11 15:20:57,12.0,7.937549,1.8612097182,016.9,85.45,101237,1023
49,Misssissippian-1,03-05-11 15:21:18,13.0,7.937573,1.89882892212,016.9,85.41,101237,1023
50,Misssissippian-1,03-05-11 15:21:33,13.0,7.937582,1.89882892212,016.9,85.39,101237,1023
51,Misssissippian-1,03-05-11 15:21:51,13.0,7.937603,1.89882892212,017.0,85.39,101235,1023
52,Misssissippian-1,03-05-11 15:22:06,14.0,7.937612,1.93433642027,016.9,85.37,101237,1023
53,Misssissippian-1,03-05-11 15:22:22,14.0,7.937634,1.93433642027,016.9,85.37,101237,1023
54,Misssissippian-1,03-05-11 15:22:37,14.0,7.937644,1.93433642027,016.9,85.34,101237,1023
55,Misssissippian-1,03-05-11 15:22:54,14.0,7.937663,1.93433642027,016.9,85.34,101234,1023
56,Misssissippian-1,03-05-11 15:23:09,15.0,7.937676,1.96798967127,016.8,85.32,101237,1023
57,Misssissippian-1,03-05-11 15:23:24,15.0,7.937688,1.96798967127,016.9,85.32,101237,1023
58,Misssissippian-1,03-05-11 15:23:40,15.0,7.93771,1.96798967127,016.9,85.29,101237,1023
59,Misssissippian-1,03-05-11 15:23:55,15.0,7.937719,1.96798967127,016.9,85.27,101236,1023
60,Misssissippian-1,03-05-11 15:24:11,16.0,7.93774,2.0,016.9,85.27,101238,1023
61,Misssissippian-1,03-05-11 15:24:26,16.0,7.937752,2.0,016.9,85.24,101238,1023
62,Misssissippian-1,03-05-11 15:24:46,16.0,7.937776,2.0,016.8,85.27,101237,1023
63,Misssissippian-1,03-05-11 15:25:01,16.0,7.937787,2.0,016.9,85.24,101237,1023
64,Misssissippian-1,03-05-11 15:25:17,17.0,7.937798,2.03054318487,016.9,85.22,101236,1023
65,Misssissippian-1,03-05-11 15:25:32,17.0,7.937817,2.03054318487,016.9,85.22,101237,1023
66,Misssissippian-1,03-05-11 15:25:47,17.0,7.937829,2.03054318487,016.8,85.19,101241,1023
67,Misssissippian-1,03-05-11 15:26:05,18.0,7.93785,2.05976714391,016.9,85.19,101237,1023
68,Misssissippian-1,03-05-11 15:26:20,18.0,7.93786,2.05976714391,016.9,85.19,101238,1023
69,Misssissippian-1,03-05-11 15:26:40,18.0,7.937886,2.05976714391,016.9,85.17,101237,1023
70,Misssissippian-1,03-05-11 15:26:55,18.0,7.937894,2.05976714391,016.9,85.17,101237,1023
71,Misssissippian-1,03-05-11 15:27:10,19.0,7.937907,2.08779762993,016.8,85.14,101237,1023
72,Misssissippian-1,03-05-11 15:27:25,19.0,7.937922,2.08779762993,016.9,85.12,101238,1023
73,Misssissippian-1,03-05-11 15:27:40,19.0,7.937931,2.08779762993,016.9,85.12,101237,1023
74,Misssissippian-1,03-05-11 15:27:55,19.0,7.937952,2.08779762993,016.9,85.12,101241,1023
75,Misssissippian-1,03-05-11 15:28:10,20.0,7.937963,2.11474252688,016.9,85.09,101237,1023
76,Misssissippian-1,03-05-11 15:28:27,20.0,7.93798,2.11474252688,016.8,85.12,101237,1023
77,Misssissippian-1,03-05-11 15:28:42,20.0,7.937994,2.11474252688,016.9,85.09,101240,1023
78,Misssissippian-1,03-05-11 15:29:00,20.0,7.938012,2.11474252688,016.9,85.07,101236,1023
79,Misssissippian-1,03-05-11 15:29:15,21.0,7.938026,2.14069514293,016.8,85.07,101237,1023
80,Misssissippian-1,03-05-11 15:29:30,21.0,7.938034,2.14069514293,016.8,85.07,101237,1023
81,Misssissippian-1,03-05-11 15:29:45,21.0,7.938054,2.14069514293,016.9,85.04,101240,1023
82,Misssissippian-1,03-05-11 15:30:00,21.0,7.938064,2.14069514293,016.8,85.07,101236,1023
83,Misssissippian-1,03-05-11 15:30:20,22.0,7.938088,2.16573677067,016.8,85.04,101237,1023
84,Misssissippian-1,03-05-11 15:30:35,22.0,7.938095,2.16573677067,016.8,85.02,101240,1023
85,Misssissippian-1,03-05-11 15:30:50,22.0,7.938112,2.16573677067,016.8,85.02,101237,1023
86,Misssissippian-1,03-05-11 15:31:05,23.0,7.93813,2.18993870309,016.8,85.02,101237,1023
87,Misssissippian-1,03-05-11 15:31:23,23.0,7.938147,2.18993870309,016.8,85.02,101240,1023
88,Misssissippian-1,03-05-11 15:31:43,23.0,7.938167,2.18993870309,016.8,84.99,101237,1023
89,Misssissippian-1,03-05-11 15:31:58,23.0,7.938177,2.18993870309,016.8,84.99,101240,1023
90,Misssissippian-1,03-05-11 15:32:15,24.0,7.938198,2.2133638394,016.8,84.97,101240,1023
91,Misssissippian-1,03-05-11 15:32:30,24.0,7.938209,2.2133638394,016.8,84.97,101239,1023
